date,dept_id,weekday,month,year,snap_CA,is_event,event_count,is_cultural_event,is_national_event,is_religious_event,is_sport_event,sales_qty,sell_price
2011-01-29,FOODS_1,Saturday,1,2011,0,0,0,0,0,0,0,341,2.9762162162162165
2011-01-30,FOODS_1,Sunday,1,2011,0,0,0,0,0,0,0,326,2.9762162162162165
2011-01-31,FOODS_1,Monday,1,2011,0,0,0,0,0,0,0,260,2.9762162162162165
2011-02-01,FOODS_1,Tuesday,2,2011,1,0,0,0,0,0,0,231,2.9762162162162165
2011-02-02,FOODS_1,Wednesday,2,2011,1,0,0,0,0,0,0,220,2.9762162162162165
2011-02-03,FOODS_1,Thursday,2,2011,1,0,0,0,0,0,0,258,2.9762162162162165
2011-02-04,FOODS_1,Friday,2,2011,1,0,0,0,0,0,0,285,2.9762162162162165
2011-02-05,FOODS_1,Saturday,2,2011,1,0,0,0,0,0,0,309,2.9675000000000002
2011-02-06,FOODS_1,Sunday,2,2011,1,1,1,0,0,0,1,404,2.9675000000000002
2011-02-07,FOODS_1,Monday,2,2011,1,0,0,0,0,0,0,290,2.9675000000000002
2011-02-08,FOODS_1,Tuesday,2,2011,1,0,0,0,0,0,0,272,2.9675000000000002
2011-02-09,FOODS_1,Wednesday,2,2011,1,0,0,0,0,0,0,264,2.9675000000000002
2011-02-10,FOODS_1,Thursday,2,2011,1,0,0,0,0,0,0,346,2.9675000000000002
2011-02-11,FOODS_1,Friday,2,2011,0,0,0,0,0,0,0,351,2.9675000000000002
2011-02-12,FOODS_1,Saturday,2,2011,0,0,0,0,0,0,0,429,2.9675000000000002
2011-02-13,FOODS_1,Sunday,2,2011,0,0,0,0,0,0,0,625,2.9675000000000002
2011-02-14,FOODS_1,Monday,2,2011,0,1,1,1,0,0,0,381,2.9675000000000002
2011-02-15,FOODS_1,Tuesday,2,2011,0,0,0,0,0,0,0,262,2.9675000000000002
2011-02-16,FOODS_1,Wednesday,2,2011,0,0,0,0,0,0,0,276,2.9675000000000002
2011-02-17,FOODS_1,Thursday,2,2011,0,0,0,0,0,0,0,258,2.9675000000000002
2011-02-18,FOODS_1,Friday,2,2011,0,0,0,0,0,0,0,265,2.9675000000000002
2011-02-19,FOODS_1,Saturday,2,2011,0,0,0,0,0,0,0,492,3.002894736842105
2011-02-20,FOODS_1,Sunday,2,2011,0,0,0,0,0,0,0,417,3.002894736842105
2011-02-21,FOODS_1,Monday,2,2011,0,1,1,0,1,0,0,337,3.002894736842105
2011-02-22,FOODS_1,Tuesday,2,2011,0,0,0,0,0,0,0,222,3.002894736842105
2011-02-23,FOODS_1,Wednesday,2,2011,0,0,0,0,0,0,0,207,3.002894736842105
2011-02-24,FOODS_1,Thursday,2,2011,0,0,0,0,0,0,0,249,3.002894736842105
2011-02-25,FOODS_1,Friday,2,2011,0,0,0,0,0,0,0,264,3.002894736842105
2011-02-26,FOODS_1,Saturday,2,2011,0,0,0,0,0,0,0,463,3.002894736842105
2011-02-27,FOODS_1,Sunday,2,2011,0,0,0,0,0,0,0,349,3.002894736842105
2011-02-28,FOODS_1,Monday,2,2011,0,0,0,0,0,0,0,261,3.002894736842105
2011-03-01,FOODS_1,Tuesday,3,2011,1,0,0,0,0,0,0,262,3.002894736842105
2011-03-02,FOODS_1,Wednesday,3,2011,1,0,0,0,0,0,0,264,3.002894736842105
2011-03-03,FOODS_1,Thursday,3,2011,1,0,0,0,0,0,0,264,3.002894736842105
2011-03-04,FOODS_1,Friday,3,2011,1,0,0,0,0,0,0,252,3.002894736842105
2011-03-05,FOODS_1,Saturday,3,2011,1,0,0,0,0,0,0,299,2.999385964912281
2011-03-06,FOODS_1,Sunday,3,2011,1,0,0,0,0,0,0,436,2.999385964912281
2011-03-07,FOODS_1,Monday,3,2011,1,0,0,0,0,0,0,244,2.999385964912281
2011-03-08,FOODS_1,Tuesday,3,2011,1,0,0,0,0,0,0,247,2.999385964912281
2011-03-09,FOODS_1,Wednesday,3,2011,1,1,1,0,0,1,0,223,2.999385964912281
2011-03-10,FOODS_1,Thursday,3,2011,1,0,0,0,0,0,0,265,2.999385964912281
2011-03-11,FOODS_1,Friday,3,2011,0,0,0,0,0,0,0,235,2.999385964912281
2011-03-12,FOODS_1,Saturday,3,2011,0,0,0,0,0,0,0,332,2.995877192982456
2011-03-13,FOODS_1,Sunday,3,2011,0,0,0,0,0,0,0,322,2.995877192982456
2011-03-14,FOODS_1,Monday,3,2011,0,0,0,0,0,0,0,274,2.995877192982456
2011-03-15,FOODS_1,Tuesday,3,2011,0,0,0,0,0,0,0,266,2.995877192982456
2011-03-16,FOODS_1,Wednesday,3,2011,0,1,1,0,0,1,0,225,2.995877192982456
2011-03-17,FOODS_1,Thursday,3,2011,0,1,1,1,0,0,0,231,2.995877192982456
2011-03-18,FOODS_1,Friday,3,2011,0,0,0,0,0,0,0,217,2.995877192982456
2011-03-19,FOODS_1,Saturday,3,2011,0,0,0,0,0,0,0,334,2.995877192982456
2011-03-20,FOODS_1,Sunday,3,2011,0,1,1,0,0,1,0,318,2.995877192982456
2011-03-21,FOODS_1,Monday,3,2011,0,0,0,0,0,0,0,269,2.995877192982456
2011-03-22,FOODS_1,Tuesday,3,2011,0,0,0,0,0,0,0,301,2.995877192982456
2011-03-23,FOODS_1,Wednesday,3,2011,0,0,0,0,0,0,0,218,2.995877192982456
2011-03-24,FOODS_1,Thursday,3,2011,0,0,0,0,0,0,0,211,2.995877192982456
2011-03-25,FOODS_1,Friday,3,2011,0,0,0,0,0,0,0,289,2.995877192982456
2011-03-26,FOODS_1,Saturday,3,2011,0,0,0,0,0,0,0,353,2.995877192982456
2011-03-27,FOODS_1,Sunday,3,2011,0,0,0,0,0,0,0,340,2.995877192982456
2011-03-28,FOODS_1,Monday,3,2011,0,0,0,0,0,0,0,265,2.995877192982456
2011-03-29,FOODS_1,Tuesday,3,2011,0,0,0,0,0,0,0,217,2.995877192982456
2011-03-30,FOODS_1,Wednesday,3,2011,0,0,0,0,0,0,0,186,2.995877192982456
2011-03-31,FOODS_1,Thursday,3,2011,0,0,0,0,0,0,0,179,2.995877192982456
2011-04-01,FOODS_1,Friday,4,2011,1,0,0,0,0,0,0,236,2.995877192982456
2011-04-02,FOODS_1,Saturday,4,2011,1,0,0,0,0,0,0,329,2.995877192982456
2011-04-03,FOODS_1,Sunday,4,2011,1,0,0,0,0,0,0,373,2.995877192982456
2011-04-04,FOODS_1,Monday,4,2011,1,0,0,0,0,0,0,262,2.995877192982456
2011-04-05,FOODS_1,Tuesday,4,2011,1,0,0,0,0,0,0,219,2.995877192982456
2011-04-06,FOODS_1,Wednesday,4,2011,1,0,0,0,0,0,0,256,2.995877192982456
2011-04-07,FOODS_1,Thursday,4,2011,1,0,0,0,0,0,0,250,2.995877192982456
2011-04-08,FOODS_1,Friday,4,2011,1,0,0,0,0,0,0,239,2.995877192982456
2011-04-09,FOODS_1,Saturday,4,2011,1,0,0,0,0,0,0,278,2.978793103448276
2011-04-10,FOODS_1,Sunday,4,2011,1,0,0,0,0,0,0,381,2.978793103448276
2011-04-11,FOODS_1,Monday,4,2011,0,0,0,0,0,0,0,234,2.978793103448276
2011-04-12,FOODS_1,Tuesday,4,2011,0,0,0,0,0,0,0,166,2.978793103448276
2011-04-13,FOODS_1,Wednesday,4,2011,0,0,0,0,0,0,0,199,2.978793103448276
2011-04-14,FOODS_1,Thursday,4,2011,0,0,0,0,0,0,0,240,2.978793103448276
2011-04-15,FOODS_1,Friday,4,2011,0,0,0,0,0,0,0,253,2.978793103448276
2011-04-16,FOODS_1,Saturday,4,2011,0,0,0,0,0,0,0,320,3.0045
2011-04-17,FOODS_1,Sunday,4,2011,0,0,0,0,0,0,0,334,3.0045
2011-04-18,FOODS_1,Monday,4,2011,0,0,0,0,0,0,0,257,3.0045
2011-04-19,FOODS_1,Tuesday,4,2011,0,0,0,0,0,0,0,281,3.0045
2011-04-20,FOODS_1,Wednesday,4,2011,0,0,0,0,0,0,0,204,3.0045
2011-04-21,FOODS_1,Thursday,4,2011,0,0,0,0,0,0,0,274,3.0045
2011-04-22,FOODS_1,Friday,4,2011,0,0,0,0,0,0,0,303,3.0045
2011-04-23,FOODS_1,Saturday,4,2011,0,0,0,0,0,0,0,487,2.9843442622950818
2011-04-24,FOODS_1,Sunday,4,2011,0,1,2,1,0,1,0,464,2.9843442622950818
2011-04-25,FOODS_1,Monday,4,2011,0,0,0,0,0,0,0,243,2.9843442622950818
